X,Y,Elevation,Target
549968,213808,135,5
549968,213808,140,6
549968,213813,80,0
549968,213813,85,0
549968,213813,90,0
549968,213813,95,0
549968,213813,100,0
549968,213813,105,1
549968,213813,110,2
549968,213813,115,2
549968,213813,120,3
549968,213813,125,4
549968,213813,130,4
549968,213813,135,5
549968,213813,140,6
549968,213818,80,0
549968,213818,85,0
549968,213818,90,0
549968,213818,95,0
549968,213818,100,0
549968,213818,105,1
549968,213818,110,2
549968,213818,115,2
549968,213818,120,3
549968,213818,125,4
549968,213818,130,4
549968,213818,135,5
549968,213818,140,5
549968,213823,80,0
549968,213823,85,0
549968,213823,90,0
549968,213823,95,0
549968,213823,100,0
549968,213823,105,1
549968,213823,110,1
549968,213823,115,2
549968,213823,120,3
549968,213823,125,3
549968,213823,130,4
549968,213823,135,5
549968,213823,140,5
549968,213828,80,0
549968,213828,85,0
549968,213828,90,0
549968,213828,95,0
549968,213828,100,0
549968,213828,105,1
549968,213828,110,1
549968,213828,115,2
549968,213828,120,3
549968,213828,125,3
549968,213828,130,4
549968,213828,135,5
549968,213828,140,5
549973,213758,80,0
549973,213758,85,0
549973,213758,90,0
549973,213758,95,0
549973,213758,100,1
549973,213758,105,2
549973,213758,110,2
549973,213758,115,2
549973,213758,120,3
549973,213758,125,3
549973,213758,130,3
549973,213758,135,4
549973,213758,140,4
549973,213763,80,0
549973,213763,85,0
549973,213763,90,0
549973,213763,95,0
549973,213763,100,1
549973,213763,105,2
549973,213763,110,2
549973,213763,115,3
549973,213763,120,3
549973,213763,125,3
549973,213763,130,4
549973,213763,135,4
549973,213763,140,4
549973,213768,80,0
549973,213768,85,0
549973,213768,90,0
549973,213768,95,0
549973,213768,100,1
549973,213768,105,1
549973,213768,110,2
549973,213768,115,3
549973,213768,120,3
549973,213768,125,3
549973,213768,130,4
549973,213768,135,4
549973,213768,140,4
549973,213773,80,0
549973,213773,85,0
549973,213773,90,0
549973,213773,95,0
549973,213773,100,1
549973,213773,105,1
549973,213773,110,2
549973,213773,115,3
549973,213773,120,3
549973,213773,125,4
549973,213773,130,4
549973,213773,135,4
549973,213773,140,5
549973,213778,80,0
549973,213778,85,0
549973,213778,90,0
549973,213778,95,0
549973,213778,100,1
549973,213778,105,1
549973,213778,110,2
549973,213778,115,3
549973,213778,120,3
549973,213778,125,4
549973,213778,130,4
549973,213778,135,4
549973,213778,140,5
549973,213783,80,0
549973,213783,85,0
549973,213783,90,0
549973,213783,95,0
549973,213783,100,1
549973,213783,105,1
549973,213783,110,2
549973,213783,115,3
549973,213783,120,3
549973,213783,125,4
549973,213783,130,4
549973,213783,135,5
549973,213783,140,5
549973,213788,80,0
549973,213788,85,0
549973,213788,90,0
549973,213788,95,0
549973,213788,100,1
549973,213788,105,1
549973,213788,110,2
549973,213788,115,3
549973,213788,120,3
549973,213788,125,4
549973,213788,130,5
549973,213788,135,5
549973,213788,140,5
549973,213793,80,0
549973,213793,85,0
549973,213793,90,0
549973,213793,95,0
549973,213793,100,1
549973,213793,105,1
549973,213793,110,2
549973,213793,115,2
549973,213793,120,3
549973,213793,125,4
549973,213793,130,4
549973,213793,135,5
549973,213793,140,5
549973,213798,80,0
549973,213798,85,0
549973,213798,90,0
549973,213798,95,0
549973,213798,100,0
549973,213798,105,1
549973,213798,110,2
549973,213798,115,2
549973,213798,120,3
549973,213798,125,4
549973,213798,130,4
549973,213798,135,5
549973,213798,140,6
549973,213803,80,0
549973,213803,85,0
549973,213803,90,0
549973,213803,95,0
549973,213803,100,0
549973,213803,105,1
549973,213803,110,2
549973,213803,115,2
549973,213803,120,3
549973,213803,125,4
549973,213803,130,4
549973,213803,135,5
549973,213803,140,6
549973,213808,80,0
549973,213808,85,0
549973,213808,90,0
549973,213808,95,0
549973,213808,100,0
549973,213808,105,1
549973,213808,110,2
549973,213808,115,2
549973,213808,120,3
549973,213808,125,4
549973,213808,130,4
549973,213808,135,5
549973,213808,140,6
549973,213813,80,0
549973,213813,85,0
549973,213813,90,0
549973,213813,95,0
549973,213813,100,0
549973,213813,105,1
549973,213813,110,2
549973,213813,115,2
549973,213813,120,3
549973,213813,125,4
549973,213813,130,4
549973,213813,135,5
549973,213813,140,6
549973,213818,80,0
549973,213818,85,0
549973,213818,90,0
549973,213818,95,0
549973,213818,100,0
549973,213818,105,1
549973,213818,110,2
549973,213818,115,2
549973,213818,120,3
549973,213818,125,4
549973,213818,130,4
549973,213818,135,5
549973,213818,140,5
549973,213823,80,0
549973,213823,85,0
549973,213823,90,0
549973,213823,95,0
549973,213823,100,0
549973,213823,105,1
549973,213823,110,1
549973,213823,115,2
549973,213823,120,3
549973,213823,125,3
549973,213823,130,4
549973,213823,135,5
549973,213823,140,5
549973,213828,80,0
549973,213828,85,0
549973,213828,90,0
549973,213828,95,0
549973,213828,100,0
549973,213828,105,1
549973,213828,110,1
549973,213828,115,2
549973,213828,120,3
549973,213828,125,3
549973,213828,130,4
549973,213828,135,5
549973,213828,140,5
549978,213758,80,0
549978,213758,85,0
549978,213758,90,0
549978,213758,95,0
549978,213758,100,1
549978,213758,105,2
549978,213758,110,2
549978,213758,115,2
549978,213758,120,3
549978,213758,125,3
549978,213758,130,3
549978,213758,135,4
549978,213758,140,4
549978,213763,80,0
549978,213763,85,0
549978,213763,90,0
549978,213763,95,0
549978,213763,100,1
549978,213763,105,2
549978,213763,110,2
549978,213763,115,3
549978,213763,120,3
549978,213763,125,3
549978,213763,130,4
549978,213763,135,4
549978,213763,140,4
549978,213768,80,0
549978,213768,85,0
549978,213768,90,0
549978,213768,95,0
549978,213768,100,1
549978,213768,105,1
549978,213768,110,2
549978,213768,115,3
549978,213768,120,3
549978,213768,125,3
549978,213768,130,4
549978,213768,135,4
549978,213768,140,4
549978,213773,80,0
549978,213773,85,0
549978,213773,90,0
549978,213773,95,0
549978,213773,100,1
549978,213773,105,1
549978,213773,110,2
549978,213773,115,3
549978,213773,120,3
549978,213773,125,4
549978,213773,130,4
549978,213773,135,4
549978,213773,140,5
549978,213778,80,0
549978,213778,85,0
549978,213778,90,0
549978,213778,95,0
549978,213778,100,1
549978,213778,105,1
549978,213778,110,2
549978,213778,115,3
549978,213778,120,3
549978,213778,125,4
549978,213778,130,4
549978,213778,135,5
549978,213778,140,5
549978,213783,80,0
549978,213783,85,0
549978,213783,90,0
549978,213783,95,0
549978,213783,100,1
549978,213783,105,1
549978,213783,110,2
549978,213783,115,3
549978,213783,120,3
549978,213783,125,4
549978,213783,130,4
549978,213783,135,5
549978,213783,140,5
549978,213788,80,0
549978,213788,85,0
549978,213788,90,0
549978,213788,95,0
549978,213788,100,1
549978,213788,105,1
549978,213788,110,2
549978,213788,115,3
549978,213788,120,3
549978,213788,125,4
549978,213788,130,5
549978,213788,135,5
549978,213788,140,5
549978,213793,80,0
549978,213793,85,0
549978,213793,90,0
549978,213793,95,0
549978,213793,100,1
549978,213793,105,1
549978,213793,110,2
549978,213793,115,3
549978,213793,120,3
549978,213793,125,4
549978,213793,130,4
549978,213793,135,5
549978,213793,140,5
549978,213798,80,0
549978,213798,85,0
549978,213798,90,0
549978,213798,95,0
549978,213798,100,0
549978,213798,105,1
549978,213798,110,2
549978,213798,115,2
549978,213798,120,3
549978,213798,125,4
549978,213798,130,4
549978,213798,135,5
549978,213798,140,6
549978,213803,80,0
549978,213803,85,0
549978,213803,90,0
549978,213803,95,0
549978,213803,100,0
549978,213803,105,1
549978,213803,110,2
549978,213803,115,2
549978,213803,120,3
549978,213803,125,4
549978,213803,130,4
549978,213803,135,5
549978,213803,140,6
549978,213808,80,0
549978,213808,85,0
549978,213808,90,0
549978,213808,95,0
549978,213808,100,0
549978,213808,105,1
549978,213808,110,2
549978,213808,115,2
549978,213808,120,3
549978,213808,125,4
549978,213808,130,4
549978,213808,135,5
549978,213808,140,6
549978,213813,80,0
549978,213813,85,0
549978,213813,90,0
549978,213813,95,0
549978,213813,100,0
549978,213813,105,1
549978,213813,110,2
549978,213813,115,2
549978,213813,120,3
549978,213813,125,4
549978,213813,130,4
549978,213813,135,5
549978,213813,140,6
549978,213818,80,0
549978,213818,85,0
549978,213818,90,0
549978,213818,95,0
549978,213818,100,0
549978,213818,105,1
549978,213818,110,2
549978,213818,115,2
549978,213818,120,3
549978,213818,125,4
549978,213818,130,4
549978,213818,135,5
549978,213818,140,5
549978,213823,80,0
549978,213823,85,0
549978,213823,90,0
549978,213823,95,0
549978,213823,100,0
549978,213823,105,1
549978,213823,110,1
549978,213823,115,2
549978,213823,120,3
549978,213823,125,3
549978,213823,130,4
549978,213823,135,5
549978,213823,140,5
549978,213828,80,0
549978,213828,85,0
549978,213828,90,0
549978,213828,95,0
549978,213828,100,0
549978,213828,105,1
549978,213828,110,1
549978,213828,115,2
549978,213828,120,3
549978,213828,125,3
549978,213828,130,4
549978,213828,135,5
549978,213828,140,5
549983,213758,80,0
549983,213758,85,0
549983,213758,90,0
549983,213758,95,0
549983,213758,100,1
549983,213758,105,2
549983,213758,110,2
549983,213758,115,2
549983,213758,120,3
549983,213758,125,3
549983,213758,130,3
549983,213758,135,4
549983,213758,140,4
549983,213763,80,0
549983,213763,85,0
549983,213763,90,0
549983,213763,95,0
549983,213763,100,1
549983,213763,105,2
549983,213763,110,2
549983,213763,115,3
549983,213763,120,3
549983,213763,125,3
549983,213763,130,4
549983,213763,135,4
549983,213763,140,4
549983,213768,80,0
549983,213768,85,0
549983,213768,90,0
549983,213768,95,0
549983,213768,100,1
549983,213768,105,1
549983,213768,110,2
549983,213768,115,3
549983,213768,120,3
549983,213768,125,3
549983,213768,130,4
549983,213768,135,4
549983,213768,140,4
549983,213773,80,0
549983,213773,85,0
549983,213773,90,0
549983,213773,95,0
549983,213773,100,1
549983,213773,105,1
549983,213773,110,2
549983,213773,115,3
549983,213773,120,3
549983,213773,125,4
549983,213773,130,4
549983,213773,135,4
549983,213773,140,5
549983,213778,80,0
549983,213778,85,0
549983,213778,90,0
549983,213778,95,0
549983,213778,100,1
549983,213778,105,1
549983,213778,110,2
549983,213778,115,3
549983,213778,120,3
549983,213778,125,4
549983,213778,130,4
549983,213778,135,5
549983,213778,140,5
549983,213783,80,0
549983,213783,85,0
549983,213783,90,0
549983,213783,95,0
549983,213783,100,1
549983,213783,105,1
549983,213783,110,2
549983,213783,115,3
549983,213783,120,3
549983,213783,125,4
549983,213783,130,4
549983,213783,135,5
549983,213783,140,5
549983,213788,80,0
549983,213788,85,0
549983,213788,90,0
549983,213788,95,0
549983,213788,100,1
549983,213788,105,1
549983,213788,110,2
549983,213788,115,3
549983,213788,120,3
549983,213788,125,4
549983,213788,130,5
549983,213788,135,5
549983,213788,140,5
549983,213793,80,0
549983,213793,85,0
549983,213793,90,0
549983,213793,95,0
549983,213793,100,1
549983,213793,105,1
549983,213793,110,2
549983,213793,115,3
549983,213793,120,3
549983,213793,125,4
549983,213793,130,4
549983,213793,135,5
549983,213793,140,5
549983,213798,80,0
549983,213798,85,0
549983,213798,90,0
549983,213798,95,0
549983,213798,100,0
549983,213798,105,1
549983,213798,110,2
549983,213798,115,2
549983,213798,120,3
549983,213798,125,4
549983,213798,130,4
549983,213798,135,5
549983,213798,140,6
549983,213803,80,0
549983,213803,85,0
549983,213803,90,0
549983,213803,95,0
549983,213803,100,0
549983,213803,105,1
549983,213803,110,2
549983,213803,115,2
549983,213803,120,3
549983,213803,125,4
549983,213803,130,4
549983,213803,135,5
549983,213803,140,6
549983,213808,80,0
549983,213808,85,0
549983,213808,90,0
549983,213808,95,0
549983,213808,100,0
549983,213808,105,1
549983,213808,110,2
549983,213808,115,2
549983,213808,120,3
549983,213808,125,4
549983,213808,130,4
549983,213808,135,5
549983,213808,140,6
549983,213813,80,0
549983,213813,85,0
549983,213813,90,0
549983,213813,95,0
549983,213813,100,0
549983,213813,105,1
549983,213813,110,2
549983,213813,115,2
549983,213813,120,3
549983,213813,125,4
549983,213813,130,4
549983,213813,135,5
549983,213813,140,6
549983,213818,80,0
549983,213818,85,0
549983,213818,90,0
549983,213818,95,0
549983,213818,100,0
549983,213818,105,1
549983,213818,110,2
549983,213818,115,2
549983,213818,120,3
549983,213818,125,4
549983,213818,130,4
549983,213818,135,5
549983,213818,140,5
549983,213823,80,0
549983,213823,85,0
549983,213823,90,0
549983,213823,95,0
549983,213823,100,0
549983,213823,105,1
549983,213823,110,1
549983,213823,115,2
549983,213823,120,3
549983,213823,125,3
549983,213823,130,4
549983,213823,135,5
549983,213823,140,5
549983,213828,80,0
549983,213828,85,0
549983,213828,90,0
549983,213828,95,0
549983,213828,100,0
549983,213828,105,1
549983,213828,110,1
549983,213828,115,2
549983,213828,120,3
549983,213828,125,3
549983,213828,130,4
549983,213828,135,5
549983,213828,140,5
549988,213758,80,0
549988,213758,85,0
549988,213758,90,0
549988,213758,95,0
549988,213758,100,1
549988,213758,105,2
549988,213758,110,2
549988,213758,115,2
549988,213758,120,3
549988,213758,125,3
549988,213758,130,3
549988,213758,135,4
549988,213758,140,4
549988,213763,80,0
549988,213763,85,0
549988,213763,90,0
549988,213763,95,0
549988,213763,100,1
549988,213763,105,2
549988,213763,110,2
549988,213763,115,3
549988,213763,120,3
549988,213763,125,3
549988,213763,130,4
549988,213763,135,4
549988,213763,140,4
549988,213768,80,0
549988,213768,85,0
549988,213768,90,0
549988,213768,95,0
549988,213768,100,1
549988,213768,105,2
549988,213768,110,2
549988,213768,115,3
549988,213768,120,3
549988,213768,125,3
549988,213768,130,4
549988,213768,135,4
549988,213768,140,4
549988,213773,80,0
549988,213773,85,0
549988,213773,90,0
549988,213773,95,0
549988,213773,100,1
549988,213773,105,1
549988,213773,110,2
549988,213773,115,3
549988,213773,120,3
549988,213773,125,4
549988,213773,130,4
549988,213773,135,4
549988,213773,140,5
549988,213778,80,0
549988,213778,85,0
549988,213778,90,0
549988,213778,95,0
549988,213778,100,1
549988,213778,105,1
549988,213778,110,2
549988,213778,115,3
549988,213778,120,3
549988,213778,125,4
549988,213778,130,4
549988,213778,135,5
549988,213778,140,5
549988,213783,80,0
549988,213783,85,0
549988,213783,90,0
549988,213783,95,0
549988,213783,100,1
549988,213783,105,1
549988,213783,110,2
549988,213783,115,3
549988,213783,120,3
549988,213783,125,4
549988,213783,130,4
549988,213783,135,5
549988,213783,140,5
549988,213788,80,0
549988,213788,85,0
549988,213788,90,0
549988,213788,95,0
549988,213788,100,1
549988,213788,105,1
549988,213788,110,2
549988,213788,115,3
549988,213788,120,3
549988,213788,125,4
549988,213788,130,5
549988,213788,135,5
549988,213788,140,5
549988,213793,80,0
549988,213793,85,0
549988,213793,90,0
549988,213793,95,0
549988,213793,100,1
549988,213793,105,1
549988,213793,110,2
549988,213793,115,3
549988,213793,120,3
549988,213793,125,4
549988,213793,130,4
549988,213793,135,5
549988,213793,140,5
549988,213798,80,0
549988,213798,85,0
549988,213798,90,0
549988,213798,95,0
549988,213798,100,0
549988,213798,105,1
549988,213798,110,2
549988,213798,115,2
549988,213798,120,3
549988,213798,125,4
549988,213798,130,4
549988,213798,135,5
549988,213798,140,6
549988,213803,80,0
549988,213803,85,0
549988,213803,90,0
549988,213803,95,0
549988,213803,100,0
549988,213803,105,1
549988,213803,110,2
549988,213803,115,2
549988,213803,120,3
549988,213803,125,4
549988,213803,130,4
549988,213803,135,5
549988,213803,140,6
549988,213808,80,0
549988,213808,85,0
549988,213808,90,0
549988,213808,95,0
549988,213808,100,0
549988,213808,105,1
549988,213808,110,2
549988,213808,115,2
549988,213808,120,3
549988,213808,125,4
549988,213808,130,4
549988,213808,135,5
549988,213808,140,6
549988,213813,80,0
549988,213813,85,0
549988,213813,90,0
549988,213813,95,0
549988,213813,100,0
549988,213813,105,1
549988,213813,110,2
549988,213813,115,2
549988,213813,120,3
549988,213813,125,4
549988,213813,130,4
549988,213813,135,5
549988,213813,140,6
549988,213818,80,0
549988,213818,85,0
549988,213818,90,0
549988,213818,95,0
549988,213818,100,0
549988,213818,105,1
549988,213818,110,2
549988,213818,115,2
549988,213818,120,3
549988,213818,125,4
549988,213818,130,4
549988,213818,135,5
549988,213818,140,6
549988,213823,80,0
549988,213823,85,0
549988,213823,90,0
549988,213823,95,0
549988,213823,100,0
549988,213823,105,1
549988,213823,110,1
549988,213823,115,2
549988,213823,120,3
549988,213823,125,3
549988,213823,130,4
549988,213823,135,5
549988,213823,140,5
549988,213828,80,0
549988,213828,85,0
549988,213828,90,0
549988,213828,95,0
549988,213828,100,0
549988,213828,105,1
549988,213828,110,1
549988,213828,115,2
549988,213828,120,3
549988,213828,125,3
549988,213828,130,4
549988,213828,135,5
549988,213828,140,5
549993,213758,80,0
549993,213758,85,0
549993,213758,90,0
549993,213758,95,0
549993,213758,100,1
549993,213758,105,2
549993,213758,110,2
549993,213758,115,2
549993,213758,120,3
549993,213758,125,3
549993,213758,130,3
549993,213758,135,4
549993,213758,140,4
549993,213763,80,0
549993,213763,85,0
549993,213763,90,0
549993,213763,95,0
549993,213763,100,1
549993,213763,105,2
549993,213763,110,2
549993,213763,115,3
549993,213763,120,3
549993,213763,125,3
549993,213763,130,4
549993,213763,135,4
549993,213763,140,4
549993,213768,80,0
549993,213768,85,0
549993,213768,90,0
549993,213768,95,0
549993,213768,100,1
549993,213768,105,2
549993,213768,110,2
549993,213768,115,3
549993,213768,120,3
549993,213768,125,3
549993,213768,130,4
549993,213768,135,4
549993,213768,140,4
549993,213773,80,0
549993,213773,85,0
549993,213773,90,0
549993,213773,95,0
549993,213773,100,1
549993,213773,105,1
549993,213773,110,2
549993,213773,115,3
549993,213773,120,3
549993,213773,125,4
549993,213773,130,4
549993,213773,135,4
549993,213773,140,5
549993,213778,80,0
549993,213778,85,0
